Handle,Title,Price,Launch Year,Tags,Engine Capacity,Fuel Type,Color Options,Top Speed,Horsepower,Country of Origin
yamaha-brand,Yamaha,15000,2023,sport,600cc,Petrol,"Blue, Red",220,100,Japan
honda-brand,Honda,14000,2022,sport,500cc,Petrol,"Black, White",200,90,Japan
suzuki-brand,Suzuki,13000,2021,sport,650cc,Petrol,"Silver, Green",210,95,Japan
kawasaki-brand,Kawasaki,18000,2022,sport,1000cc,Petrol,"Black, Green",250,150,Japan
ducati-brand,Ducati,22000,2023,premium,1200cc,Petrol,"Red, Black",280,170,Italy
honda-brand,Honda,14500,2021,sport,500cc,Petrol,"Black, Yellow",200,95,Japan
yamaha-brand,Yamaha,16000,2020,sport,700cc,Petrol,"Red, White",210,100,Japan
suzuki-brand,Suzuki,17000,2021,sport,750cc,Petrol,"Blue, Green",220,105,Japan
kawasaki-brand,Kawasaki,18000,2020,sport,1000cc,Petrol,"Black, Yellow",240,110,Japan
ducati-brand,Ducati,20000,2022,premium,1100cc,Petrol,"Red, Black",250,120,Italy
yamaha-brand,Yamaha MT-07,14000,2023,sport,700cc,Petrol,"Black, Yellow",200,95,Japan
honda-brand,Honda CRF1100L,18000,2021,adventure,1100cc,Petrol,"Red, Black",210,100,Japan
suzuki-brand,Suzuki Burgman,12000,2020,scooter,400cc,Petrol,"Silver, Blue",150,80,Japan
kawasaki-brand,Kawasaki Z1000,17000,2022,sport,1000cc,Petrol,"Green, Black",230,125,Japan
ducati-brand,Ducati Diavel,24000,2022,cruiser,1200cc,Petrol,"Red, Silver",240,130,Italy
yamaha-brand,Yamaha TMAX,16000,2023,scooter,560cc,Petrol,"Blue, Grey",180,85,Japan
honda-brand,Honda Monkey,4500,2021,retro,125cc,Petrol,"Yellow, Black",120,11,Japan
suzuki-brand,Suzuki GSX-S1000,18000,2020,sport,1000cc,Petrol,"Black, Blue",250,145,Japan
kawasaki-brand,Kawasaki Versys 650,14000,2022,adventure,650cc,Petrol,"Green, Black",210,90,Japan
ducati-brand,Ducati Multistrada,22000,2021,adventure,950cc,Petrol,"Red, Grey",220,110,Italy
yamaha-brand,Yamaha XSR700,13000,2020,retro,700cc,Petrol,"Blue, White",190,90,Japan
honda-brand,Honda Shadow,14000,2020,cruiser,750cc,Petrol,"Black, Silver",160,80,Japan
suzuki-brand,Suzuki Intruder,16000,2022,cruiser,800cc,Petrol,"Black, Red",180,95,Japan
kawasaki-brand,Kawasaki Ninja 400,12000,2021,sport,400cc,Petrol,"Green, Black",180,50,Japan
ducati-brand,Ducati Panigale V2,25000,2023,sport,950cc,Petrol,"Red, White",270,150,Italy
